geneid                                                       tseintronbegin       tseintronend        
BayalaiB08-376_Baya_065_1                                    100626               100636              
BayalaiB08-376_Baya_118_2                                    notfound             notfound            
BayalaiB08-376_Baya_094_3                                    notfound             notfound            
BayalaiB08-376_Baya_030_4                                    notfound             notfound            
BayalaiB08-376_Baya_357_5                                    0                    0                   
BayalaiB08-376_Baya_312_6                                    0                    0                   
BayalaiB08-376_Baya_300_7                                    0                    0                   
BayalaiB08-376_Baya_297_8                                    0                    0                   
BayalaiB08-376_Baya_297_9                                    0                    0                   
BayalaiB08-376_Baya_296_10                                   0                    0                   
BayalaiB08-376_Baya_296_11                                   0                    0                   
BayalaiB08-376_Baya_296_12                                   0                    0                   
BayalaiB08-376_Baya_296_13                                   0                    0                   
BayalaiB08-376_Baya_294_14                                   0                    0                   
BayalaiB08-376_Baya_294_15                                   0                    0                   
BayalaiB08-376_Baya_294_16                                   0                    0                   
BayalaiB08-376_Baya_237_17                                   0                    0                   
BayalaiB08-376_Baya_237_18                                   0                    0                   
BayalaiB08-376_Baya_237_19                                   0                    0                   
BayalaiB08-376_Baya_237_20                                   0                    0                   
BayalaiB08-376_Baya_237_21                                   0                    0                   
BayalaiB08-376_Baya_237_22                                   0                    0                   
BayalaiB08-376_Baya_237_23                                   0                    0                   
BayalaiB08-376_Baya_237_24                                   0                    0                   
BayalaiB08-376_Baya_237_25                                   0                    0                   
BayalaiB08-376_Baya_228_26                                   0                    0                   
BayalaiB08-376_Baya_178_27                                   0                    0                   
BayalaiB08-376_Baya_168_28                                   0                    0                   
BayalaiB08-376_Baya_168_29                                   0                    0                   
BayalaiB08-376_Baya_162_30                                   0                    0                   
BayalaiB08-376_Baya_130_31                                   0                    0                   
BayalaiB08-376_Baya_104_32                                   0                    0                   
BayalaiB08-376_Baya_104_33                                   0                    0                   
BayalaiB08-376_Baya_104_34                                   0                    0                   
BayalaiB08-376_Baya_104_35                                   0                    0                   
BayalaiB08-376_Baya_104_36                                   0                    0                   
BayalaiB08-376_Baya_104_37                                   0                    0                   
BayalaiB08-376_Baya_087_38                                   0                    0                   
BayalaiB08-376_Baya_077_39                                   0                    0                   
BayalaiB08-376_Baya_077_40                                   0                    0                   
BayalaiB08-376_Baya_076_41                                   0                    0                   
BayalaiB08-376_Baya_074_42                                   0                    0                   
BayalaiB08-376_Baya_074_43                                   0                    0                   
BayalaiB08-376_Baya_073_44                                   0                    0                   
BayalaiB08-376_Baya_065_45                                   0                    0                   
BayalaiB08-376_Baya_065_46                                   0                    0                   
BayalaiB08-376_Baya_065_47                                   0                    0                   
BayalaiB08-376_Baya_065_48                                   0                    0                   
BayalaiB08-376_Baya_065_49                                   0                    0                   
BayalaiB08-376_Baya_062_50                                   0                    0                   
BayalaiB08-376_Baya_062_51                                   0                    0                   
BayalaiB08-376_Baya_059_52                                   0                    0                   
BayalaiB08-376_Baya_059_53                                   0                    0                   
BayalaiB08-376_Baya_059_54                                   0                    0                   
BayalaiB08-376_Baya_029_55                                   0                    0                   
BayalaiB08-376_Baya_029_56                                   0                    0                   
BayalaiB08-376_Baya_025_57                                   0                    0                   
BayalaiB08-376_Baya_024_58                                   0                    0                   
BayalaiB08-376_Baya_023_59                                   0                    0                   
BayalaiB08-376_Baya_023_60                                   0                    0                   
BayalaiB08-376_Baya_023_61                                   0                    0                   
BayalaiB08-376_Baya_022_62                                   0                    0                   
BayalaiB08-376_Baya_022_63                                   0                    0                   
BayalaiB08-376_Baya_021_64                                   0                    0                   
BayalaiB08-376_Baya_017_65                                   0                    0                   
BayalaiB08-376_Baya_002_66                                   0                    0                   
BayalaiB08-376_Baya_002_67                                   0                    0                   
BayalaiB08-376_Baya_002_68                                   0                    0                   
BayalaiB08-376_Baya_001_69                                   0                    0                   
BayalaiB08-376_Baya_001_70                                   0                    0                   
BayalaiB08-376_Baya_001_71                                   0                    0                   
BayalaiB08-376_Baya_001_72                                   0                    0                   
CfasciculataCfCl_CfaC1_29_1                                  1874858              1874848             
CfasciculataCfCl_CfaC1_29_2                                  1114315              1114325             
CfasciculataCfCl_CfaC1_25_3                                  465917               465907              
CfasciculataCfCl_CfaC1_30_4                                  notfound             notfound            
CfasciculataCfCl_CfaC1_29_5                                  notfound             notfound            
CfasciculataCfCl_CfaC1_28_6                                  notfound             notfound            
CfasciculataCfCl_CfaC1_21_7                                  notfound             notfound            
CfasciculataCfCl_CfaC1_21_8                                  notfound             notfound            
CfasciculataCfCl_CfaC1_16_9                                  notfound             notfound            
CfasciculataCfCl_CfaC1_07_10                                 notfound             notfound            
CfasciculataCfCl_CfaC1_05_11                                 notfound             notfound            
CfasciculataCfCl_CfaC1_05_12                                 notfound             notfound            
CfasciculataCfCl_CfaC1_30_13                                 0                    0                   
CfasciculataCfCl_CfaC1_30_14                                 0                    0                   
CfasciculataCfCl_CfaC1_29_15                                 0                    0                   
CfasciculataCfCl_CfaC1_29_16                                 0                    0                   
CfasciculataCfCl_CfaC1_29_17                                 0                    0                   
CfasciculataCfCl_CfaC1_29_18                                 0                    0                   
CfasciculataCfCl_CfaC1_29_19                                 0                    0                   
CfasciculataCfCl_CfaC1_29_20                                 0                    0                   
CfasciculataCfCl_CfaC1_29_21                                 0                    0                   
CfasciculataCfCl_CfaC1_29_22                                 0                    0                   
CfasciculataCfCl_CfaC1_29_23                                 0                    0                   
CfasciculataCfCl_CfaC1_28_24                                 0                    0                   
CfasciculataCfCl_CfaC1_28_25                                 0                    0                   
CfasciculataCfCl_CfaC1_28_26                                 0                    0                   
CfasciculataCfCl_CfaC1_28_27                                 0                    0                   
CfasciculataCfCl_CfaC1_28_28                                 0                    0                   
CfasciculataCfCl_CfaC1_28_29                                 0                    0                   
CfasciculataCfCl_CfaC1_28_30                                 0                    0                   
CfasciculataCfCl_CfaC1_28_31                                 0                    0                   
CfasciculataCfCl_CfaC1_28_32                                 0                    0                   
CfasciculataCfCl_CfaC1_28_33                                 0                    0                   
CfasciculataCfCl_CfaC1_28_34                                 0                    0                   
CfasciculataCfCl_CfaC1_27_35                                 0                    0                   
CfasciculataCfCl_CfaC1_27_36                                 0                    0                   
CfasciculataCfCl_CfaC1_27_37                                 0                    0                   
CfasciculataCfCl_CfaC1_27_38                                 0                    0                   
CfasciculataCfCl_CfaC1_27_39                                 0                    0                   
CfasciculataCfCl_CfaC1_27_40                                 0                    0                   
CfasciculataCfCl_CfaC1_27_41                                 0                    0                   
CfasciculataCfCl_CfaC1_27_42                                 0                    0                   
CfasciculataCfCl_CfaC1_27_43                                 0                    0                   
CfasciculataCfCl_CfaC1_26_44                                 0                    0                   
CfasciculataCfCl_CfaC1_26_45                                 0                    0                   
CfasciculataCfCl_CfaC1_26_46                                 0                    0                   
CfasciculataCfCl_CfaC1_25_47                                 0                    0                   
CfasciculataCfCl_CfaC1_25_48                                 0                    0                   
CfasciculataCfCl_CfaC1_25_49                                 0                    0                   
CfasciculataCfCl_CfaC1_25_50                                 0                    0                   
CfasciculataCfCl_CfaC1_25_51                                 0                    0                   
CfasciculataCfCl_CfaC1_25_52                                 0                    0                   
CfasciculataCfCl_CfaC1_25_53                                 0                    0                   
CfasciculataCfCl_CfaC1_25_54                                 0                    0                   
CfasciculataCfCl_CfaC1_25_55                                 0                    0                   
CfasciculataCfCl_CfaC1_25_56                                 0                    0                   
CfasciculataCfCl_CfaC1_25_57                                 0                    0                   
CfasciculataCfCl_CfaC1_25_58                                 0                    0                   
CfasciculataCfCl_CfaC1_24_59                                 0                    0                   
CfasciculataCfCl_CfaC1_24_60                                 0                    0                   
CfasciculataCfCl_CfaC1_23_61                                 0                    0                   
CfasciculataCfCl_CfaC1_22_62                                 0                    0                   
CfasciculataCfCl_CfaC1_22_63                                 0                    0                   
CfasciculataCfCl_CfaC1_21_64                                 0                    0                   
CfasciculataCfCl_CfaC1_20_65                                 0                    0                   
CfasciculataCfCl_CfaC1_20_66                                 0                    0                   
CfasciculataCfCl_CfaC1_18_67                                 0                    0                   
CfasciculataCfCl_CfaC1_15_68                                 0                    0                   
CfasciculataCfCl_CfaC1_15_69                                 0                    0                   
CfasciculataCfCl_CfaC1_15_70                                 0                    0                   
CfasciculataCfCl_CfaC1_15_71                                 0                    0                   
CfasciculataCfCl_CfaC1_15_72                                 0                    0                   
CfasciculataCfCl_CfaC1_15_73                                 0                    0                   
CfasciculataCfCl_CfaC1_15_74                                 0                    0                   
CfasciculataCfCl_CfaC1_15_75                                 0                    0                   
CfasciculataCfCl_CfaC1_15_76                                 0                    0                   
CfasciculataCfCl_CfaC1_15_77                                 0                    0                   
CfasciculataCfCl_CfaC1_15_78                                 0                    0                   
CfasciculataCfCl_CfaC1_13_79                                 0                    0                   
CfasciculataCfCl_CfaC1_13_80                                 0                    0                   
CfasciculataCfCl_CfaC1_13_81                                 0                    0                   
CfasciculataCfCl_CfaC1_12_82                                 0                    0                   
CfasciculataCfCl_CfaC1_11_83                                 0                    0                   
CfasciculataCfCl_CfaC1_11_84                                 0                    0                   
CfasciculataCfCl_CfaC1_10_85                                 0                    0                   
CfasciculataCfCl_CfaC1_09_86                                 0                    0                   
CfasciculataCfCl_CfaC1_09_87                                 0                    0                   
CfasciculataCfCl_CfaC1_09_88                                 0                    0                   
CfasciculataCfCl_CfaC1_08_89                                 0                    0                   
CfasciculataCfCl_CfaC1_08_90                                 0                    0                   
CfasciculataCfCl_CfaC1_07_91                                 0                    0                   
CfasciculataCfCl_CfaC1_07_92                                 0                    0                   
CfasciculataCfCl_CfaC1_07_93                                 0                    0                   
CfasciculataCfCl_CfaC1_07_94                                 0                    0                   
CfasciculataCfCl_CfaC1_07_95                                 0                    0                   
CfasciculataCfCl_CfaC1_07_96                                 0                    0                   
CfasciculataCfCl_CfaC1_07_97                                 0                    0                   
CfasciculataCfCl_CfaC1_07_98                                 0                    0                   
CfasciculataCfCl_CfaC1_06_99                                 0                    0                   
CfasciculataCfCl_CfaC1_05_100                                0                    0                   
CfasciculataCfCl_CfaC1_05_101                                0                    0                   
CfasciculataCfCl_CfaC1_05_102                                0                    0                   
CfasciculataCfCl_CfaC1_05_103                                0                    0                   
CfasciculataCfCl_CfaC1_05_104                                0                    0                   
CfasciculataCfCl_CfaC1_05_105                                0                    0                   
CfasciculataCfCl_CfaC1_05_106                                0                    0                   
CfasciculataCfCl_CfaC1_05_107                                0                    0                   
CfasciculataCfCl_CfaC1_05_108                                0                    0                   
CfasciculataCfCl_CfaC1_04_109                                0                    0                   
CfasciculataCfCl_CfaC1_04_110                                0                    0                   
CfasciculataCfCl_CfaC1_04_111                                0                    0                   
CfasciculataCfCl_CfaC1_02_112                                0                    0                   
CfasciculataCfCl_CfaC1_01_113                                0                    0                   
CfasciculataCfCl_CfaC1_01_114                                0                    0                   
EmonterogeiiLV88_EmoLV88_36_1                                483577               483587              
EmonterogeiiLV88_EmoLV88_34_2                                1246276              1246266             
EmonterogeiiLV88_EmoLV88_34_3                                422539               422549              
EmonterogeiiLV88_EmoLV88_24_4                                0                    0                   
EmonterogeiiLV88_EmoLV88_25_5                                notfound             notfound            
EmonterogeiiLV88_EmoLV88_06_6                                notfound             notfound            
EmonterogeiiLV88_EMOLV88_SCAF001713_7                        0                    0                   
EmonterogeiiLV88_EMOLV88_SCAF001534_8                        0                    0                   
EmonterogeiiLV88_EMOLV88_SCAF001534_9                        0                    0                   
EmonterogeiiLV88_EMOLV88_SCAF000892_10                       0                    0                   
EmonterogeiiLV88_EMOLV88_SCAF000471_11                       0                    0                   
EmonterogeiiLV88_EmoLV88_36_12                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_13                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_14                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_15                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_16                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_17                               0                    0                   
EmonterogeiiLV88_EmoLV88_36_18                               0                    0                   
