geneid                                                       sourceOrg                           sourceseq                           sourceSO      direction  tsebegin   tseend     arabegin   araend    
BayalaiB08-376_Baya_065_1                                    BayalaiB08-376                      Baya_065                            notfound      +          100589     100672     -1         -1        
BayalaiB08-376_Baya_118_2                                    BayalaiB08-376                      Baya_118                            contig        -          -1         -1         37480      37575     
BayalaiB08-376_Baya_094_3                                    BayalaiB08-376                      Baya_094                            contig        -          -1         -1         13469      13566     
BayalaiB08-376_Baya_030_4                                    BayalaiB08-376                      Baya_030                            contig        +          -1         -1         127843     127922    
BayalaiB08-376_Baya_357_5                                    BayalaiB08-376                      Baya_357                            contig        +          83         153        83         153       
BayalaiB08-376_Baya_312_6                                    BayalaiB08-376                      Baya_312                            contig        -          659        740        659        740       
BayalaiB08-376_Baya_300_7                                    BayalaiB08-376                      Baya_300                            contig        +          109        180        109        182       
BayalaiB08-376_Baya_297_8                                    BayalaiB08-376                      Baya_297                            contig        +          184        255        184        255       
BayalaiB08-376_Baya_297_9                                    BayalaiB08-376                      Baya_297                            contig        +          60         130        60         130       
BayalaiB08-376_Baya_296_10                                   BayalaiB08-376                      Baya_296                            contig        -          1473       1544       1473       1544      
BayalaiB08-376_Baya_296_11                                   BayalaiB08-376                      Baya_296                            contig        +          1351       1421       1351       1421      
BayalaiB08-376_Baya_296_12                                   BayalaiB08-376                      Baya_296                            contig        +          1221       1293       1221       1293      
BayalaiB08-376_Baya_296_13                                   BayalaiB08-376                      Baya_296                            contig        -          1078       1149       1077       1149      
BayalaiB08-376_Baya_294_14                                   BayalaiB08-376                      Baya_294                            contig        +          9923       9994       9923       9995      
BayalaiB08-376_Baya_294_15                                   BayalaiB08-376                      Baya_294                            contig        +          9795       9867       9795       9868      
BayalaiB08-376_Baya_294_16                                   BayalaiB08-376                      Baya_294                            contig        +          9666       9737       9666       9738      
BayalaiB08-376_Baya_237_17                                   BayalaiB08-376                      Baya_237                            contig        -          19466      19537      19464      19538     
BayalaiB08-376_Baya_237_18                                   BayalaiB08-376                      Baya_237                            contig        +          19057      19128      19057      19128     
BayalaiB08-376_Baya_237_19                                   BayalaiB08-376                      Baya_237                            contig        -          18912      18983      18911      18983     
BayalaiB08-376_Baya_237_20                                   BayalaiB08-376                      Baya_237                            contig        +          18798      18870      18798      18870     
BayalaiB08-376_Baya_237_21                                   BayalaiB08-376                      Baya_237                            contig        +          18670      18741      18670      18741     
BayalaiB08-376_Baya_237_22                                   BayalaiB08-376                      Baya_237                            contig        +          18532      18614      18531      18617     
BayalaiB08-376_Baya_237_23                                   BayalaiB08-376                      Baya_237                            contig        +          18404      18475      18403      18476     
BayalaiB08-376_Baya_237_24                                   BayalaiB08-376                      Baya_237                            contig        -          18258      18329      18256      18329     
BayalaiB08-376_Baya_237_25                                   BayalaiB08-376                      Baya_237                            contig        -          17791      17864      17791      17864     
BayalaiB08-376_Baya_228_26                                   BayalaiB08-376                      Baya_228                            contig        -          93         165        90         166       
BayalaiB08-376_Baya_178_27                                   BayalaiB08-376                      Baya_178                            contig        -          80         150        80         150       
BayalaiB08-376_Baya_168_28                                   BayalaiB08-376                      Baya_168                            contig        +          310        381        310        383       
BayalaiB08-376_Baya_168_29                                   BayalaiB08-376                      Baya_168                            contig        -          154        236        154        236       
BayalaiB08-376_Baya_162_30                                   BayalaiB08-376                      Baya_162                            contig        +          133        205        133        205       
BayalaiB08-376_Baya_130_31                                   BayalaiB08-376                      Baya_130                            contig        +          22348      22419      22347      22421     
BayalaiB08-376_Baya_104_32                                   BayalaiB08-376                      Baya_104                            contig        -          68511      68583      68511      68583     
BayalaiB08-376_Baya_104_33                                   BayalaiB08-376                      Baya_104                            contig        +          68382      68453      68382      68453     
BayalaiB08-376_Baya_104_34                                   BayalaiB08-376                      Baya_104                            contig        +          68252      68324      68252      68326     
BayalaiB08-376_Baya_104_35                                   BayalaiB08-376                      Baya_104                            contig        -          67606      67677      67606      67677     
